Book Title,Original Price,Discount Price,Discount Percentage,Product Ratings,Reviews
Atomic Habits {2015} English Paperback,₹299,₹499,40% off,4.3,(269)
Swasthya Manovigyan Health Psychology 1 Edition,₹210,N/A,N/A,3.9,(15)
Unlimited Power,₹304,₹599,49% off,4.5,(707)
Notes From A Friend,₹369,₹399,7% off,4.6,(29)
How to Stop Worrying and Start Living,₹196,₹280,30% off,4.5,"(10,296)"
Simple Trading Book New Patterns Trading Psychology New...,₹999,"₹3,999",75% off,4.3,(4)
How to Stop Worrying and Start Living  - The First and ...,₹134,₹195,31% off,4.3,"(1,056)"
The Leader in You,₹258,₹300,14% off,4.4,(345)
The Leader in You,₹212,₹249,14% off,4.4,(345)
The First Minute,₹238,"₹2,122",88% off,4.2,(36)
The Psychology Of Money In Hindi,₹299,₹599,50% off,4,(85)
How to Win Friends and Influence People (Deluxe Hardbou...,₹379,₹499,24% off,4.7,(25)
How To Have A Beautiful Mind,₹450,₹599,24% off,4.4,(58)
Elon Musk Ke 99 Success Principles,₹246,₹300,18% off,4.3,(3)
Aur Safal Bane,₹293,₹350,16% off,4.5,(390)
The Miracles of Your Mind,₹207,₹245,15% off,4.4,"(1,213)"
Make Your Bed,₹288,₹329,12% off,4.5,(660)
Leadership: The Brian Tracy Success Library (Telugu),₹143,₹150,4% off,4.1,(9)
Sports Psychology and Sociology (B.P.Ed. Physical Educa...,₹200,₹300,33% off,4.3,(8)
Be What You Wish,₹211,₹275,23% off,4.5,(100)
Time Wise,₹499,₹811,38% off,4.8,(10)
APC Mentor in Psychology (In Question-Answer Form) Clas...,₹450,N/A,N/A,4.7,(6)
Learning and Teaching Psychology,₹306,₹400,23% off,N/A,N/A
Complete Personality Development,₹166,₹195,14% off,4.2,(470)
Complete Personality Development Course,₹149,₹175,14% off,4.4,(271)
Four Thousand Weeks,₹269,₹599,55% off,4.3,(40)
Evolve Your Brain,₹899,"₹1,687",46% off,4.3,(6)
Zen: The Art of Simple Living,₹524,₹599,12% off,4.6,(681)
The Defining Decade  - Why Your Twenties Matter and How...,₹399,₹499,20% off,4.6,(157)
"The psychology of money  - Paperback, Morgan housel boo...",₹299,₹398,24% off,4.5,"(17,008)"
Phychology Of Money Book Rich Dad,₹299,₹891,66% off,4.2,"(9,024)"
Jeevan Me Safal Hone Ke Upaye 1 Edition,₹208,₹250,16% off,4,(72)
How to Win Friends and Influence People,₹156,₹170,8% off,4.5,"(28,508)"
Bhagwad Geeta Se Sikhen Safalta Ke Sutra,₹149,₹175,14% off,4.3,(49)
Sports Psychology and Sociology (B.P.Ed. Physical Educa...,₹200,₹300,33% off,4.3,(8)
The Psychology Of Money - Hindi Edition (Dhan -Sampatti...,₹295,₹298,1% off,4.1,(375)
Mind Games : The Dual Facets Of Manipulation And Dark P...,₹199,₹300,33% off,N/A,N/A
Awaken Your Inner Optimist: A Guide to Positive Psychol...,₹395,₹490,19% off,N/A,N/A
Psychology and Death,₹315,₹395,20% off,N/A,N/A
Atomic Habits {2015} English Paperback,₹299,₹499,40% off,4.3,(269)
Simple Trading Book New Patterns Trading Psychology New...,₹999,"₹3,999",75% off,4.3,(4)
